Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
Given Employed equals 25441 Unemployed equals 5504 Adult population equals 36188 what are the unemployment rate and the labour force participation rate,85.5 percent and 17.8 percent,82.2 percent and 85.5 percent,17.8 percent and 14.5 percent,17.8 percent and 85.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 10 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,7 percent,9 percent,12 percent,5 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 28279 Unemployed equals 4039 Adult population equals 51092 what are the unemployment rate and the labour force participation rate,12.5 percent and 63.3 percent,12.5 percent and 36.7 percent,63.3 percent and 12.5 percent,87.5 percent and 63.3 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 43735 Unemployed equals 1232 Adult population equals 47340 what are the unemployment rate and the labour force participation rate,2.7 percent and 95.0 percent,97.3 percent and 95.0 percent,2.7 percent and 5.0 percent,95.0 percent and 2.7 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 26734 Unemployed equals 1422 Adult population equals 42599 what are the unemployment rate and the labour force participation rate,5.1 percent and 33.900000000000006 percent,66.1 percent and 5.1 percent,5.1 percent and 66.1 percent,94.9 percent and 66.1 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 37536 Unemployed equals 5187 Adult population equals 60911 what are the unemployment rate and the labour force participation rate,87.9 percent and 70.1 percent,70.1 percent and 12.1 percent,12.1 percent and 29.900000000000006 percent,12.1 percent and 70.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 115 to 145 what is the inflation rate for the period,21.1 percent,26.1 percent,31.1 percent,36.1 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 23712 Unemployed equals 4581 Adult population equals 41023 what are the unemployment rate and the labour force participation rate,16.2 percent and 69.0 percent,69.0 percent and 16.2 percent,83.8 percent and 69.0 percent,16.2 percent and 31.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 97 to 105 what is the inflation rate for the period,8.2 percent,13.2 percent,18.2 percent,3.1999999999999993 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 112 to 120 what is the inflation rate for the period,17.1 percent,12.1 percent,7.1 percent,2.0999999999999996 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 4 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,5 percent,6 percent,7 percent,8 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If the reserve ratio is 12 percent what is the simple money multiplier in a basic fractional reserve model,9,16,7,8,D,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
If CPI rises from 100 to 125 what is the inflation rate for the period,30.0 percent,20.0 percent,25.0 percent,35.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 94 to 104 what is the inflation rate for the period,15.6 percent,10.6 percent,20.6 percent,5.6 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 4 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,1 percent,3 percent,8 percent,5 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 110 to 130 what is the inflation rate for the period,18.2 percent,23.2 percent,28.2 percent,13.2 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 38646 Unemployed equals 3238 Adult population equals 48429 what are the unemployment rate and the labour force participation rate,86.5 percent and 7.7 percent,92.3 percent and 86.5 percent,7.7 percent and 13.5 percent,7.7 percent and 86.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13067 Unemployed equals 5101 Adult population equals 21486 what are the unemployment rate and the labour force participation rate,28.1 percent and 84.6 percent,28.1 percent and 15.400000000000006 percent,84.6 percent and 28.1 percent,71.9 percent and 84.6 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Exports add to aggregate demand while imports enter GDP accounts through net exports as a subtraction,False,True,Imports add to AD directly like exports,Imports are ignored in GDP,B,AD equals C plus I plus G plus NX and NX equals exports minus imports so imports reduce net exports by design.
Given Employed equals 34256 Unemployed equals 3071 Adult population equals 50323 what are the unemployment rate and the labour force participation rate,91.8 percent and 74.2 percent,74.2 percent and 8.2 percent,8.2 percent and 25.799999999999997 percent,8.2 percent and 74.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 4 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,2 percent,9 percent,6 percent,4 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 8456 Unemployed equals 5570 Adult population equals 31638 what are the unemployment rate and the labour force participation rate,39.7 percent and 44.3 percent,39.7 percent and 55.7 percent,60.3 percent and 44.3 percent,44.3 percent and 39.7 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 90 to 115 what is the inflation rate for the period,27.8 percent,22.8 percent,37.8 percent,32.8 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Buying a newly built house is counted as investment while buying an existing house is not counted as current production,Both are counted as consumption,False,Both are counted as government purchases,True,D,New construction adds to current output while existing homes are asset transfers that do not add to production in the current year.
If CPI rises from 97 to 117 what is the inflation rate for the period,25.6 percent,30.6 percent,20.6 percent,15.600000000000001 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 45498 Unemployed equals 3218 Adult population equals 67746 what are the unemployment rate and the labour force participation rate,6.6 percent and 71.9 percent,6.6 percent and 28.099999999999994 percent,71.9 percent and 6.6 percent,93.4 percent and 71.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 3 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,3 percent,1 percent,8 percent,5 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 117 to 135 what is the inflation rate for the period,15.4 percent,20.4 percent,10.4 percent,25.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 20804 Unemployed equals 3394 Adult population equals 38970 what are the unemployment rate and the labour force participation rate,14.0 percent and 62.1 percent,14.0 percent and 37.9 percent,86.0 percent and 62.1 percent,62.1 percent and 14.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 101 to 121 what is the inflation rate for the period,24.8 percent,19.8 percent,29.8 percent,14.8 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 40351 Unemployed equals 4158 Adult population equals 58346 what are the unemployment rate and the labour force participation rate,76.3 percent and 9.3 percent,90.7 percent and 76.3 percent,9.3 percent and 23.700000000000003 percent,9.3 percent and 76.3 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 115 to 125 what is the inflation rate for the period,3.6999999999999993 percent,8.7 percent,13.7 percent,18.7 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 48179 Unemployed equals 273 Adult population equals 52479 what are the unemployment rate and the labour force participation rate,0.6 percent and 92.3 percent,0.6 percent and 7.700000000000003 percent,92.3 percent and 0.6 percent,99.4 percent and 92.3 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 12 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,9 percent,5 percent,12 percent,7 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 110 to 122 what is the inflation rate for the period,15.9 percent,20.9 percent,5.9 percent,10.9 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 113 to 121 what is the inflation rate for the period,7.1 percent,12.1 percent,2.0999999999999996 percent,17.1 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 102 to 117 what is the inflation rate for the period,24.7 percent,19.7 percent,14.7 percent,9.7 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 29249 Unemployed equals 3043 Adult population equals 39959 what are the unemployment rate and the labour force participation rate,90.6 percent and 80.8 percent,9.4 percent and 19.200000000000003 percent,80.8 percent and 9.4 percent,9.4 percent and 80.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 39875 Unemployed equals 3854 Adult population equals 52664 what are the unemployment rate and the labour force participation rate,8.8 percent and 83.0 percent,83.0 percent and 8.8 percent,8.8 percent and 17.0 percent,91.2 percent and 83.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Raising unemployment benefits can lengthen job search and raise measured unemployment though it can improve match quality,True,Benefits immediately lower unemployment,Benefits have no behavioural effects,False,A,Economic incentives can change search intensity and reservation wages affecting job finding rates.
Given Employed equals 29197 Unemployed equals 4902 Adult population equals 50055 what are the unemployment rate and the labour force participation rate,68.1 percent and 14.4 percent,14.4 percent and 31.900000000000006 percent,85.6 percent and 68.1 percent,14.4 percent and 68.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
CPI can diverge from the GDP deflator when import prices move differently from domestic output prices,They always move together,False,True,Deflator includes imports,C,CPI includes imported consumer goods and services while the deflator covers only domestic output so their inflation rates can differ.
If CPI rises from 113 to 118 what is the inflation rate for the period,4.4 percent,14.4 percent,0 percent,9.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 105 to 110 what is the inflation rate for the period,9.8 percent,0 percent,4.8 percent,14.8 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 2 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,4 percent,1 percent,2 percent,3 percent,C,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 118 to 136 what is the inflation rate for the period,20.3 percent,10.3 percent,25.3 percent,15.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 49547 Unemployed equals 798 Adult population equals 51742 what are the unemployment rate and the labour force participation rate,97.3 percent and 1.6 percent,98.4 percent and 97.3 percent,1.6 percent and 2.700000000000003 percent,1.6 percent and 97.3 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
During a banking crisis tighter lending standards and deleveraging can reduce aggregate demand even if policy rates fall,Policy rates perfectly offset all credit effects,False,True,Credit supply rises in crises,C,When banks cut back lending many projects are postponed and households reduce spending which weakens demand.
Given Employed equals 28175 Unemployed equals 1127 Adult population equals 34084 what are the unemployment rate and the labour force participation rate,96.2 percent and 86.0 percent,86.0 percent and 3.8 percent,3.8 percent and 86.0 percent,3.8 percent and 14.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 39430 Unemployed equals 1594 Adult population equals 49802 what are the unemployment rate and the labour force participation rate,82.4 percent and 3.9 percent,3.9 percent and 82.4 percent,3.9 percent and 17.599999999999994 percent,96.1 percent and 82.4 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 5389 Unemployed equals 1236 Adult population equals 10914 what are the unemployment rate and the labour force participation rate,81.3 percent and 60.7 percent,18.7 percent and 39.3 percent,18.7 percent and 60.7 percent,60.7 percent and 18.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 30262 Unemployed equals 847 Adult population equals 39790 what are the unemployment rate and the labour force participation rate,78.2 percent and 2.7 percent,97.3 percent and 78.2 percent,2.7 percent and 21.799999999999997 percent,2.7 percent and 78.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 39043 Unemployed equals 5714 Adult population equals 64733 what are the unemployment rate and the labour force participation rate,69.1 percent and 12.8 percent,87.2 percent and 69.1 percent,12.8 percent and 30.900000000000006 percent,12.8 percent and 69.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13008 Unemployed equals 1686 Adult population equals 33031 what are the unemployment rate and the labour force participation rate,11.5 percent and 55.5 percent,44.5 percent and 11.5 percent,11.5 percent and 44.5 percent,88.5 percent and 44.5 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 3 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,4 percent,3 percent,5 percent,2 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 119 to 134 what is the inflation rate for the period,7.6 percent,17.6 percent,12.6 percent,22.6 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 101 to 109 what is the inflation rate for the period,7.9 percent,2.9000000000000004 percent,17.9 percent,12.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 20552 Unemployed equals 327 Adult population equals 40558 what are the unemployment rate and the labour force participation rate,1.6 percent and 51.5 percent,1.6 percent and 48.5 percent,51.5 percent and 1.6 percent,98.4 percent and 51.5 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 43686 Unemployed equals 2362 Adult population equals 63376 what are the unemployment rate and the labour force participation rate,94.9 percent and 72.7 percent,5.1 percent and 27.299999999999997 percent,5.1 percent and 72.7 percent,72.7 percent and 5.1 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 101 to 126 what is the inflation rate for the period,24.8 percent,29.8 percent,19.8 percent,34.8 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 101 to 116 what is the inflation rate for the period,14.9 percent,19.9 percent,24.9 percent,9.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 5 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,7 percent,8 percent,5 percent,6 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 115 to 127 what is the inflation rate for the period,20.4 percent,10.4 percent,5.4 percent,15.4 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 17927 Unemployed equals 3741 Adult population equals 36479 what are the unemployment rate and the labour force participation rate,17.3 percent and 59.4 percent,17.3 percent and 40.6 percent,59.4 percent and 17.3 percent,82.7 percent and 59.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 2 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,8 percent,7 percent,5 percent,6 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 13820 Unemployed equals 376 Adult population equals 25850 what are the unemployment rate and the labour force participation rate,54.9 percent and 2.6 percent,2.6 percent and 45.1 percent,2.6 percent and 54.9 percent,97.4 percent and 54.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 21747 Unemployed equals 3988 Adult population equals 44666 what are the unemployment rate and the labour force participation rate,15.5 percent and 57.6 percent,84.5 percent and 57.6 percent,57.6 percent and 15.5 percent,15.5 percent and 42.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 106 to 111 what is the inflation rate for the period,14.7 percent,0 percent,9.7 percent,4.7 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 3 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,7 percent,5 percent,6 percent,8 percent,C,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 114 to 129 what is the inflation rate for the period,18.2 percent,13.2 percent,8.2 percent,23.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 96 to 121 what is the inflation rate for the period,31.0 percent,36.0 percent,26.0 percent,21.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 104 to 119 what is the inflation rate for the period,9.4 percent,14.4 percent,19.4 percent,24.4 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 6565 Unemployed equals 5257 Adult population equals 16570 what are the unemployment rate and the labour force participation rate,71.3 percent and 44.5 percent,44.5 percent and 28.700000000000003 percent,44.5 percent and 71.3 percent,55.5 percent and 71.3 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 6 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,9 percent,7 percent,8 percent,6 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 105 to 117 what is the inflation rate for the period,11.4 percent,21.4 percent,6.4 percent,16.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 16743 Unemployed equals 4421 Adult population equals 23920 what are the unemployment rate and the labour force participation rate,20.9 percent and 11.5 percent,79.1 percent and 88.5 percent,20.9 percent and 88.5 percent,88.5 percent and 20.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 90 to 95 what is the inflation rate for the period,0.5999999999999996 percent,10.6 percent,5.6 percent,15.6 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 111 to 126 what is the inflation rate for the period,18.5 percent,23.5 percent,8.5 percent,13.5 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 6 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,8 percent,10 percent,9 percent,7 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 25408 Unemployed equals 4614 Adult population equals 45457 what are the unemployment rate and the labour force participation rate,84.6 percent and 66.0 percent,66.0 percent and 15.4 percent,15.4 percent and 34.0 percent,15.4 percent and 66.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 15044 Unemployed equals 4603 Adult population equals 33052 what are the unemployment rate and the labour force participation rate,23.4 percent and 59.4 percent,23.4 percent and 40.6 percent,76.6 percent and 59.4 percent,59.4 percent and 23.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 11029 Unemployed equals 2908 Adult population equals 27499 what are the unemployment rate and the labour force participation rate,79.1 percent and 50.7 percent,50.7 percent and 20.9 percent,20.9 percent and 50.7 percent,20.9 percent and 49.3 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 114 to 144 what is the inflation rate for the period,26.3 percent,21.3 percent,31.3 percent,36.3 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 113 to 123 what is the inflation rate for the period,3.8000000000000007 percent,13.8 percent,18.8 percent,8.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 35664 Unemployed equals 2680 Adult population equals 44398 what are the unemployment rate and the labour force participation rate,7.0 percent and 86.4 percent,86.4 percent and 7.0 percent,7.0 percent and 13.599999999999994 percent,93.0 percent and 86.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 16066 Unemployed equals 5287 Adult population equals 23021 what are the unemployment rate and the labour force participation rate,24.8 percent and 92.8 percent,24.8 percent and 7.200000000000003 percent,75.2 percent and 92.8 percent,92.8 percent and 24.8 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 16170 Unemployed equals 5368 Adult population equals 31871 what are the unemployment rate and the labour force participation rate,67.6 percent and 24.9 percent,24.9 percent and 67.6 percent,24.9 percent and 32.400000000000006 percent,75.1 percent and 67.6 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 7 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,5 percent,10 percent,7 percent,3 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 111 to 119 what is the inflation rate for the period,17.2 percent,7.2 percent,2.2 percent,12.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 20188 Unemployed equals 5110 Adult population equals 42890 what are the unemployment rate and the labour force participation rate,79.8 percent and 59.0 percent,59.0 percent and 20.2 percent,20.2 percent and 59.0 percent,20.2 percent and 41.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 17913 Unemployed equals 3630 Adult population equals 26197 what are the unemployment rate and the labour force participation rate,83.1 percent and 82.2 percent,16.9 percent and 17.799999999999997 percent,82.2 percent and 16.9 percent,16.9 percent and 82.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 3 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,1 percent,-1 percent,4 percent,0 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 30490 Unemployed equals 2374 Adult population equals 48862 what are the unemployment rate and the labour force participation rate,92.8 percent and 67.3 percent,7.2 percent and 32.7 percent,7.2 percent and 67.3 percent,67.3 percent and 7.2 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 5870 Unemployed equals 4618 Adult population equals 22941 what are the unemployment rate and the labour force participation rate,56.0 percent and 45.7 percent,44.0 percent and 45.7 percent,44.0 percent and 54.3 percent,45.7 percent and 44.0 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 45974 Unemployed equals 3772 Adult population equals 54767 what are the unemployment rate and the labour force participation rate,7.6 percent and 9.200000000000003 percent,90.8 percent and 7.6 percent,92.4 percent and 90.8 percent,7.6 percent and 90.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 96 to 106 what is the inflation rate for the period,10.4 percent,5.4 percent,15.4 percent,20.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 118 to 130 what is the inflation rate for the period,10.2 percent,20.2 percent,15.2 percent,5.199999999999999 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 104 to 114 what is the inflation rate for the period,9.6 percent,19.6 percent,4.6 percent,14.6 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 34488 Unemployed equals 744 Adult population equals 45189 what are the unemployment rate and the labour force participation rate,78.0 percent and 2.1 percent,2.1 percent and 22.0 percent,97.9 percent and 78.0 percent,2.1 percent and 78.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 43702 Unemployed equals 4955 Adult population equals 57352 what are the unemployment rate and the labour force participation rate,10.2 percent and 15.200000000000003 percent,89.8 percent and 84.8 percent,10.2 percent and 84.8 percent,84.8 percent and 10.2 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 4 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,3 percent,0 percent,1 percent,6 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 111 to 136 what is the inflation rate for the period,32.5 percent,22.5 percent,17.5 percent,27.5 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 30316 Unemployed equals 2831 Adult population equals 41553 what are the unemployment rate and the labour force participation rate,91.5 percent and 79.8 percent,8.5 percent and 20.200000000000003 percent,79.8 percent and 8.5 percent,8.5 percent and 79.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 29088 Unemployed equals 4174 Adult population equals 50703 what are the unemployment rate and the labour force participation rate,12.5 percent and 65.6 percent,87.5 percent and 65.6 percent,12.5 percent and 34.400000000000006 percent,65.6 percent and 12.5 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 37772 Unemployed equals 2030 Adult population equals 59753 what are the unemployment rate and the labour force participation rate,5.1 percent and 66.6 percent,66.6 percent and 5.1 percent,5.1 percent and 33.400000000000006 percent,94.9 percent and 66.6 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 93 to 113 what is the inflation rate for the period,31.5 percent,26.5 percent,16.5 percent,21.5 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Open trade policies can increase the effective size of the market and speed technology diffusion raising productivity,Trade has no effect on productivity,True,False,Trade only lowers wages without efficiency gains,B,Exposure to larger markets and foreign ideas can raise competition and adoption of best practices.
Given Employed equals 45856 Unemployed equals 4590 Adult population equals 60923 what are the unemployment rate and the labour force participation rate,9.1 percent and 17.200000000000003 percent,82.8 percent and 9.1 percent,9.1 percent and 82.8 percent,90.9 percent and 82.8 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 96 to 126 what is the inflation rate for the period,26.2 percent,31.2 percent,41.2 percent,36.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 113 to 138 what is the inflation rate for the period,22.1 percent,27.1 percent,17.1 percent,32.1 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 39468 Unemployed equals 4672 Adult population equals 48539 what are the unemployment rate and the labour force participation rate,90.9 percent and 10.6 percent,10.6 percent and 9.099999999999994 percent,89.4 percent and 90.9 percent,10.6 percent and 90.9 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 23576 Unemployed equals 4401 Adult population equals 34728 what are the unemployment rate and the labour force participation rate,80.6 percent and 15.7 percent,15.7 percent and 19.400000000000006 percent,15.7 percent and 80.6 percent,84.3 percent and 80.6 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 19583 Unemployed equals 282 Adult population equals 22567 what are the unemployment rate and the labour force participation rate,1.4 percent and 88.0 percent,98.6 percent and 88.0 percent,1.4 percent and 12.0 percent,88.0 percent and 1.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
